item,restaurant,price,discount,original price,time,status,phone,address,order unmber,description
白桃子酪酪-大杯（芝士不分装）,茶百道(富国街店),22,-1,23,2021/7/26 16:44,"-1,","*********	",****,"5032314220133242295	","""依据餐量提供餐具"""
烤肉脆皮鸡双拼饭 烤肠 可乐套餐+人气酱香烤肉拌饭 4配菜 下饭小咸菜+冰凉 手工酸奶（饭后消食必选）,觅食烤肉拌饭·脆皮鸡饭,41.78,-23,55.78,2021/6/13 17:00,"11,","*********	",****,"5028423692626974202	","""2份餐具"""
缤纷口味炸鸡套餐-中份,哆啦爱檬柠檬炸鸡&啤酒(城西店),27.9,-26,51.9,2021/6/11 22:31,"11,","*********	",****,"5028277739278325241	","""依据餐量提供餐具"""
香辣牛油拌饭（大份）【微辣回味无穷】,厚德·牛油拌饭(昆山店),20.9,-1,40.9,2021/6/11 12:23,"11,","*********	",****,"5028227651512325545	","""依据餐量提供餐具"""
缤纷口味炸鸡套餐-中份,哆啦爱檬柠檬炸鸡&啤酒(城西店),29.4,-26,51.9,2021/6/10 20:36,"11,","*********	",****,"5028186365577156089	","""无需餐具"""
冰大红袍奶茶,湊湊火锅.茶憩(昆山万象汇店),23.5,0,22,2021/6/10 16:22,"11,","*********	",****,"5028159728651359504	","""无需餐具"""
缤纷口味炸鸡套餐-中份,哆啦爱檬柠檬炸鸡&啤酒(城西店),29.4,-26,51.9,2021/6/9 17:52,"11,","*********	",****,"5028085581409703417	","""无需餐具"""
自选双拼B,N多寿司(新江南店),28,-5,32,2021/6/7 20:54,"11,","*********	",****,"5027941015780087157	","""依据餐量提供餐具"""
缤纷口味炸鸡套餐-中份,哆啦爱檬柠檬炸鸡&啤酒(城西店),29.4,-26,51.9,2021/6/7 13:14,"11,","*********	",****,"5027904549830022649	","""依据餐量提供餐具"""
欢乐单人套餐（含一份米饭）+微辣+秘制招牌锅底,品香居麻辣香锅(海峰路店),30.78,-1,44.28,2021/6/5 12:06,"11,","*********	",****,"5027713596246742435	","""1份餐具"""
缤纷口味无骨套餐-中份,哆啦爱檬柠檬炸鸡&啤酒(城西店),29.4,-26,51.9,2021/6/4 18:49,"11,","*********	",****,"5027662421904348665	","""依据餐量提供餐具"""
冰大红袍珍珠奶茶,湊湊火锅.茶憩(昆山万象汇店),27.5,0,24,2021/6/2 21:50,"11,","*********	",****,"5027512972888528144	","""依据餐量提供餐具"""
牛气亨通套餐,N多寿司(新江南店),35.9,-1,72,2021/6/2 14:48,"11,","*********	",****,"5027477203092264309	","""依据餐量提供餐具"""
三倍乳酪葡萄-一份,伏見桃山(昆山万象汇店),28,0,25,2021/6/1 19:01,"11,","*********	",****,"5027417084908295609	","""依据餐量提供餐具"""
蒲烧鳗鱼牛肉双拼饭+照烧鸡牛肉双拼 (赠：海裙菜和可乐)+【巨好吃】和番土豆饼（单点不配送）+一次性餐具包,和番丼饭·牛肉饭(紫竹路九方城店),68.4,-1,118.6,2021/6/1 18:59,"11,","*********	",****,"5027416653347968510	","""依据餐量提供餐具"""
缤纷口味炸鸡套餐-中份,哆啦爱檬柠檬炸鸡&啤酒(城西店),30.9,-27,51.9,2021/6/1 11:43,"11,","*********	",****,"5027374271608935929	","""依据餐量提供餐具"""
